Gene symbol	Aliases	Description	Disease count
DLG5	LP-DLG, P-DLG5, PDLG	discs, large homolog 5 (Drosophila)	4	
PTTG1	EAP1, HPTTG, PTTG, TUTR1	pituitary tumor-transforming 1	2	
IL32	IL-32alpha, IL-32beta, IL-32delta, IL-32gamma, NK4, TAIF, TAIFa, TAIFb, TAIFc, TAIFd	interleukin 32	7	
NOG	SYM1, SYNS1	noggin	4	
RPS6KA5	MSK1, MSPK1, RLPK	ribosomal protein S6 kinase, 90kDa, polypeptide 5	1	
NUMBL	CAG3A, CTG3a, NBL, NUMB-R, NUMBLIKE, NUMBR, TNRC23	numb homolog (Drosophila)-like	1	
PDLIM7	LMP1, LMP3	PDZ and LIM domain 7 (enigma)	1	
MAPKAPK2	MAPKAP-K2, MK-2, MK2	mitogen-activated protein kinase-activated protein kinase 2	1	
STK17A	DRAK1	serine/threonine kinase 17a	1	
COPB2	beta'-COP	coatomer protein complex, subunit beta 2 (beta prime)	1	
GPR55	LPIR1	G protein-coupled receptor 55	1	
SOCS6	CIS-4, CIS4, HSPC060, SOCS-4, SOCS-6, SOCS4, SSI4, STAI4, STATI4	suppressor of cytokine signaling 6	2	
CD83	BL11, HB15	CD83 molecule	3	
KCNB2	KV2.2	potassium channel, voltage gated Shab related subfamily B, member 2	2	
KLF4	EZF, GKLF	Kruppel-like factor 4 (gut)	1	
CD163	M130, MM130	CD163 molecule	10	
VAMP3	CEB	vesicle-associated membrane protein 3	1	
SLIT2	SLIL3, Slit-2	slit guidance ligand 2	1	
UBE4A	E4, UBOX2, UFD2	ubiquitination factor E4A	2	
KL		klotho	1	
SLC9A3R1	EBP50, NHERF, NHERF-1, NHERF1, NPHLOP2	solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 1	2	
ADIPOQ	ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28	adiponectin, C1Q and collagen domain containing	15	
KIF3B	FLA8, HH0048, KLP-11	kinesin family member 3B	1	
TSIX	LINC00013, NCRNA00013, XIST-AS, XIST-AS1, XISTAS	TSIX transcript, XIST antisense RNA	1	
CD101	EWI-101, IGSF2, V7	CD101 molecule	2	
LPXN	LDPL	leupaxin	1	
FADS2	D6D, DES6, FADSD6, LLCDL2, SLL0262, TU13	fatty acid desaturase 2	6	
NTN1	NTN1L	netrin 1	1	
ABCG2	ABC15, ABCP, BCRP, BCRP1, BMDP, CD338, CDw338, EST157481, GOUT1, MRX, MXR, MXR-1, MXR1, UAQTL1	ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)	3	
NCR2	CD336, LY95, NK-p44, NKP44, dJ149M18.1	natural cytotoxicity triggering receptor 2	8	
NCR1	CD335, LY94, NK-p46, NKP46	natural cytotoxicity triggering receptor 1	4	
QKI	Hqk, QK, QK1, QK3, hqkI	QKI, KH domain containing, RNA binding	1	
AIM2	PYHIN4	absent in melanoma 2	5	
EIF2AK3	PEK, PERK, WRS	eukaryotic translation initiation factor 2-alpha kinase 3	2	
ITM2A	BRICD2A, E25A	integral membrane protein 2A	1	
ARHGEF6	COOL2, Cool-2, MRX46, PIXA, alpha-PIX, alphaPIX	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	3	
PICK1	PICK, PRKCABP	protein interacting with PRKCA 1	1	
IL27RA	CRL1, IL-27RA, IL27R, TCCR, WSX1, zcytor1	interleukin 27 receptor, alpha	3	
ATG5	APG5, APG5-LIKE, APG5L, ASP, hAPG5	autophagy related 5	7	
ROCK2	ROCK-II	Rho-associated, coiled-coil containing protein kinase 2	1	
SLC25A27	UCP4	solute carrier family 25, member 27	1	
TBX4	SPS	T-box 4	1	
ADAMTS4	ADAMTS-2, ADAMTS-4, ADMP-1	ADAM metallopeptidase with thrombospondin type 1 motif, 4	1	
LITAF	PIG7, SIMPLE, TP53I7	lipopolysaccharide-induced TNF factor	2	
GDF15	GDF-15, MIC-1, MIC1, NAG-1, PDF, PLAB, PTGFB	growth differentiation factor 15	1	
NPEPPS	AAP-S, MP100, PSA	aminopeptidase puromycin sensitive	2	
MPDU1	CDGIF, HBEBP2BPA, Lec35, My008, PP3958, PQLC5, SL15	mannose-P-dolichol utilization defect 1	1	
GOSR1	GOLIM2, GOS-28, GOS28, GOS28/P28, GS28, P28	golgi SNAP receptor complex member 1	3	
BAG5	BAG-5	BCL2-associated athanogene 5	1	
PTGES	MGST-IV, MGST1-L1, MGST1L1, MPGES, PGES, PIG12, PP102, PP1294, TP53I12, mPGES-1	prostaglandin E synthase	2	
CIR1	CIR	corepressor interacting with RBPJ, 1	1	
CXCL14	BMAC, BRAK, KEC, KS1, MIP-2g, MIP2G, NJAC, SCYB14	chemokine (C-X-C motif) ligand 14	2	
CCL4L2	AT744.2, CCL4L, SCYA4L, SCYQ4L2	chemokine (C-C motif) ligand 4-like 2	4	
BCAR1	CAS, CAS1, CASS1, CRKAS, P130Cas	breast cancer anti-estrogen resistance 1	3	
GTF2IRD1	BEN, CREAM1, GTF3, MUSTRD1, RBAP2, WBS, WBSCR11, WBSCR12, hMusTRD1alpha1	GTF2I repeat domain containing 1	1	
CLOCK	KAT13D, bHLHe8	clock circadian regulator	2	
BRE	BRCC4, BRCC45	brain and reproductive organ-expressed (TNFRSF1A modulator)	1	
CREB5	CRE-BPA, CREB-5	cAMP responsive element binding protein 5	1	
PRDX6	1-Cys, AOP2, HEL-S-128m, NSGPx, PRX, aiPLA2, p29	peroxiredoxin 6	1	
TRAF4	CART1, MLN62, RNF83	TNF receptor-associated factor 4	1	
KLK4	AI2A1, ARM1, EMSP, EMSP1, KLK-L1, PRSS17, PSTS, kallikrein	kallikrein-related peptidase 4	2	
SNCAIP	SYPH1, Sph1	synuclein, alpha interacting protein	1	
ISG15	G1P2, IFI15, IMD38, IP17, UCRP, hUCRP	ISG15 ubiquitin-like modifier	2	
ARHGEF10	GEF10, SNCV	Rho guanine nucleotide exchange factor (GEF) 10	1	
PLCH2	PLC-L4, PLC-eta2, PLCL4, PLCeta2	phospholipase C, eta 2	2	
SOCS5	CIS6, CISH6, Cish5, SOCS-5	suppressor of cytokine signaling 5	1	
MDC1	NFBD1	mediator of DNA-damage checkpoint 1	1	
N4BP1		NEDD4 binding protein 1	1	
CLINT1	CLINT, ENTH, EPN4, EPNR	clathrin interactor 1	1	
KIAA0391	MRPP3, PRORP	KIAA0391	1	
CEP57	MVA2, PIG8, TSP57	centrosomal protein 57kDa	1	
DHX34	DDX34, HRH1	DEAH (Asp-Glu-Ala-His) box polypeptide 34	1	
HERPUD1	HERP, Mif1, SUP	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	2	
SEMA3E	M-SEMAH, M-SemaK, SEMAH, coll-5	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	1	
ZNF646		zinc finger protein 646	1	
HDAC9	HD7, HD7b, HD9, HDAC, HDAC7, HDAC7B, HDAC9B, HDAC9FL, HDRP, MITR	histone deacetylase 9	4	
USP34		ubiquitin specific peptidase 34	1	
PHACTR2	C6orf56	phosphatase and actin regulator 2	2	
TBKBP1	ProSAPiP2, SINTBAD	TBK1 binding protein 1	2	
ZFYVE16	PPP1R69	zinc finger, FYVE domain containing 16	1	
RASSF2	CENP-34, RASFADIN	Ras association (RalGDS/AF-6) domain family member 2	1	
TM9SF4	dJ836N17.2	transmembrane 9 superfamily protein member 4	1	
SPOCK2	testican-2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	1	
IP6K1	IHPK1, PiUS	inositol hexakisphosphate kinase 1	2	
RNF40	BRE1B, RBP95, STARING	ring finger protein 40, E3 ubiquitin protein ligase	1	
SPATA2	PD1, PPP1R145, tamo	spermatogenesis associated 2	1	
DNAJC6	DJC6, PARK19	DnaJ (Hsp40) homolog, subfamily C, member 6	1	
TESPA1	HSPC257, KIAA0748	thymocyte expressed, positive selection associated 1	2	
PLEKHM1	AP162, B2, OPTB6	pleckstrin homology domain containing, family M (with RUN domain) member 1	1	
HEPH	CPL	hephaestin	1	
ELMO1	CED-12, CED12, ELMO-1	engulfment and cell motility 1	3	
MAGI2	ACVRIP1, AIP-1, AIP1, ARIP1, MAGI-2, SSCAM	membrane associated guanylate kinase, WW and PDZ domain containing 2	3	
FCHSD2	NWK, SH3MD3	FCH and double SH3 domains 2	1	
FAM20B	gxk1	family with sequence similarity 20, member B	1	
SEC16A	KIAA0310, SEC16L, p250	SEC16 homolog A (S. cerevisiae)	1	
RNF10	RIE2	ring finger protein 10	1	
IQSEC1	ARF-GEP100, ARFGEP100, BRAG2, GEP100	IQ motif and Sec7 domain 1	1	
KIAA0020	HA-8, HLA-HA8, PEN, PUF-A, PUF6, XTP5	KIAA0020	2	
MAFB	KRML, MCTO	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B	1	
USP15	UNPH-2, UNPH4	ubiquitin specific peptidase 15	2	
USP3	SIH003, UBP	ubiquitin specific peptidase 3	1	
SLC23A2	NBTL1, SLC23A1, SVCT2, YSPL2	solute carrier family 23 (ascorbic acid transporter), member 2	1	
SLC23A1	SLC23A2, SVCT1, YSPL3	solute carrier family 23 (ascorbic acid transporter), member 1	2	
FGF19		fibroblast growth factor 19	1	
TNFSF15	TL1, TL1A, VEGI, VEGI192A	tumor necrosis factor (ligand) superfamily, member 15	10	
NR1I3	CAR, CAR1, MB67	nuclear receptor subfamily 1, group I, member 3	1	
NR1H4	BAR, FXR, HRR-1, HRR1, RIP14	nuclear receptor subfamily 1, group H, member 4	6	
NR1D2	BD73, EAR-1R, RVR	nuclear receptor subfamily 1, group D, member 2	1	
RBX1	BA554C12.1, RNF75, ROC1	ring-box 1, E3 ubiquitin protein ligase	1	
DGCR2	DGS-C, IDD, LAN, SEZ-12	DiGeorge syndrome critical region gene 2	1	
SCO2	CEMCOX1, MYP6, SCO1L	SCO2 cytochrome c oxidase assembly protein	1	
NR2E3	ESCS, PNR, RNR, RP37, rd7	nuclear receptor subfamily 2, group E, member 3	1	
KCNE3	HOKPP, HYPP, MiRP2	potassium channel, voltage gated subfamily E regulatory beta subunit 3	1	
SRA1	SRA, SRAP, STRAA1, pp7684	steroid receptor RNA activator 1	1	
HDAC6	CPBHM, HD6, JM21, PPP1R90	histone deacetylase 6	1	
HDAC5	HD5, NY-CO-9	histone deacetylase 5	1	
PDCD6IP	AIP1, ALIX, DRIP4, HP95	programmed cell death 6 interacting protein	1	
BCL2L11	BAM, BIM, BOD	BCL2-like 11 (apoptosis facilitator)	1	
SH2B3	IDDM20, LNK	SH2B adaptor protein 3	8	
CHAF1A	CAF-1, CAF1, CAF1B, CAF1P150, P150	chromatin assembly factor 1, subunit A (p150)	1	
TOM1L1	OK/KNS-CL.3, SRCASM	target of myb1 like 1 membrane trafficking protein	1	
DNAJB6	DJ4, DnaJ, HHDJ1, HSJ-2, HSJ2, LGMD1D, LGMD1E, MRJ, MSJ-1	DnaJ (Hsp40) homolog, subfamily B, member 6	1	
AP1M2	AP1-mu2, HSMU1B, MU-1B, MU1B, mu2	adaptor-related protein complex 1, mu 2 subunit	1	
SAE1	AOS1, HSPC140, SUA1, UBLE1A	SUMO1 activating enzyme subunit 1	1	
ABCC5	ABC33, EST277145, MOAT-C, MOATC, MRP5, SMRP, pABC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	1	
DNM1L	DLP1, DRP1, DVLP, DYMPLE, EMPF, HDYNIV	dynamin 1-like	1	
NR1H3	LXR-a, LXRA, RLD-1	nuclear receptor subfamily 1, group H, member 3	1	
SCAMP3	C1orf3	secretory carrier membrane protein 3	1	
IL18BP	IL18BPa	interleukin 18 binding protein	1	
USH1C	AIE-75, DFNB18, DFNB18A, NY-CO-37, NY-CO-38, PDZ-45, PDZ-73, PDZ-73/NY-CO-38, PDZ73, PDZD7C, ush1cpst	Usher syndrome 1C	1	
EDIL3	DEL1	EGF-like repeats and discoidin I-like domains 3	1	
COL4A3BP	CERT, CERTL, GPBP, MRD34, STARD11	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	1	
PPIF	CYP3, CyP-M, Cyp-D, CypD	peptidylprolyl isomerase F	1	
ARPC2	ARC34, PNAS-139, PRO2446, p34-Arc	actin related protein 2/3 complex, subunit 2, 34kDa	1	
RAD50	NBSLD, RAD502, hRad50	RAD50 homolog (S. cerevisiae)	3	
RASGRP1	CALDAG-GEFI, CALDAG-GEFII, RASGRP, V, hRasGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	4	
TRAP1	HSP 75, HSP75, HSP90L, TRAP-1	TNF receptor-associated protein 1	1	
OPTN	ALS12, FIP2, GLC1E, HIP7, HYPL, NRP, TFIIIA-INTP	optineurin	1	
NAMPT	1110035O14Rik, PBEF, PBEF1, VF, VISFATIN	nicotinamide phosphoribosyltransferase	10	
G3BP1	G3BP, HDH-VIII	GTPase activating protein (SH3 domain) binding protein 1	2	
EBI3	IL-27B, IL27B	Epstein-Barr virus induced 3	5	
PDZK1IP1	DD96, MAP17, SPAP	PDZK1 interacting protein 1	2	
ATP6AP2	APT6M8-9, ATP6IP2, ATP6M8-9, ELDF10, HT028, M8-9, MRXE, MRXSH, MSTP009, PRR, RENR, XMRE, XPDS	ATPase, H+ transporting, lysosomal accessory protein 2	1	
SLC25A15	D13S327, HHH, ORC1, ORNT1	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	1	
TNK2	ACK, ACK-1, ACK1, p21cdc42Hs	tyrosine kinase, non-receptor, 2	2	
ALYREF	ALY, ALY/REF, BEF, REF, THOC4	Aly/REF export factor	1	
MPHOSPH9	MPP-9, MPP9	M-phase phosphoprotein 9	1	
INADL	Cipp, InaD-like, PATJ, hINADL	InaD-like (Drosophila)	1	
FLOT1		flotillin 1	1	
DDX39A	BAT1, BAT1L, DDX39, DDXL, URH49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A	1	
PRG4	CACP, HAPO, JCAP, MSF, SZP	proteoglycan 4	1	
KLRG1	2F1, CLEC15A, MAFA, MAFA-2F1, MAFA-L, MAFA-LIKE	killer cell lectin-like receptor subfamily G, member 1	2	
TRIB1	C8FW, GIG-2, GIG2, SKIP1, TRB-1, TRB1	tribbles pseudokinase 1	1	
MRPS31	IMOGN38, MRP-S31, S31mt	mitochondrial ribosomal protein S31	1	
KCNMB2		potassium channel subfamily M regulatory beta subunit 2	1	
GPHN	GEPH, GPH, GPHRYN, HKPX1, MOCODC	gephyrin	1	
SPRY2	hSPRY2	sprouty RTK signaling antagonist 2	1	
HCG9	HCGIX, HCGIX4	HLA complex group 9 (non-protein coding)	4	
ABCC4	MOAT-B, MOATB, MRP4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	3	
IGSF6	DORA	immunoglobulin superfamily, member 6	1	
ZMPSTE24	FACE-1, FACE1, HGPS, PRO1, STE24, Ste24p	zinc metallopeptidase STE24	1	
FSTL3	FLRG, FSRP	follistatin-like 3 (secreted glycoprotein)	1	
STUB1	CHIP, HSPABP2, NY-CO-7, SCAR16, SDCCAG7, UBOX1	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase	1	
STAG1	SA1, SCC3A	stromal antigen 1	1	
SMNDC1	SMNR, SPF30, TDRD16C	survival motor neuron domain containing 1	1	
LILRB2	CD85D, ILT-4, ILT4, LIR-2, LIR2, MIR-10, MIR10	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	1	
DNAJA2	CPR3, DJ3, DJA2, DNAJ, DNJ3, HIRIP4, PRO3015, RDJ2	DnaJ (Hsp40) homolog, subfamily A, member 2	2	
BCKDK	BCKDKD, BDK	branched chain ketoacid dehydrogenase kinase	1	
DLEU1	BCMS, BCMS1, DLB1, DLEU2, LEU1, LEU2, LINC00021, NCRNA00021, XTP6	deleted in lymphocytic leukemia 1 (non-protein coding)	2	
CCNO	CCNU, CILD29, UDG2	cyclin O	1	
TCIRG1	ATP6N1C, ATP6V0A3, Atp6i, OC-116kDa, OC116, OPTB1, Stv1, TIRC7, Vph1, a3	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	2	
TNIP1	ABIN-1, NAF1, VAN, nip40-1	TNFAIP3 interacting protein 1	7	
IKZF1	Hs.54452, IK1, IKAROS, LYF1, LyF-1, PPP1R92, PRO0758, ZNFN1A1	IKAROS family zinc finger 1 (Ikaros)	3	
TLR6	CD286	toll-like receptor 6	2	
CCL26	IMAC, MIP-4a, MIP-4alpha, SCYA26, TSC-1	chemokine (C-C motif) ligand 26	5	
TRIM22	GPSTAF50, RNF94, STAF50	tripartite motif containing 22	2	
ABCA7	ABCA-SSN, ABCX	ATP-binding cassette, sub-family A (ABC1), member 7	3	
KLF2	LKLF	Kruppel-like factor 2	1	
CITED2	ASD8, MRG-1, MRG1, P35SRJ, VSD2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	1	
SEMA3A	COLL1, HH16, Hsema-I, Hsema-III, SEMA1, SEMAD, SEMAIII, SEMAL, SemD, coll-1	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	7	
TUBB3	CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4	tubulin, beta 3 class III	1	
SYCP2	SCP2	synaptonemal complex protein 2	1	
NOD1	CARD4, CLR7.1, NLRC1	nucleotide-binding oligomerization domain containing 1	8	
PRG3	MBP2, MBPH	proteoglycan 3	1	
ATP8A1	ATPASEII, ATPIA, ATPP2	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	1	
NDRG1	CAP43, CMT4D, DRG-1, DRG1, GC4, HMSNL, NDR1, NMSL, PROXY1, RIT42, RTP, TARG1, TDD5	N-myc downstream regulated 1	2	
PEMT	PEAMT, PEMPT, PEMT2, PNMT	phosphatidylethanolamine N-methyltransferase	1	
PIAS3	ZMIZ5	protein inhibitor of activated STAT, 3	1	
WFDC2	EDDM4, HE4, WAP5, dJ461P17.6	WAP four-disulfide core domain 2	2	
IFITM3	1-8U, DSPA2b, IP15	interferon induced transmembrane protein 3	1	
VAV3		vav 3 guanine nucleotide exchange factor	2	
TAB1	3'-Tab1, MAP3K7IP1	TGF-beta activated kinase 1/MAP3K7 binding protein 1	3	
GPNMB	HGFIN, NMB	glycoprotein (transmembrane) nmb	1	
MERTK	MER, RP38, Tyro12, c-Eyk, c-mer	MER proto-oncogene, tyrosine kinase	2	
FST	FS	follistatin	1	
UBE2E3	UBCH9, UbcM2	ubiquitin-conjugating enzyme E2E 3	1	
UNC13B	MUNC13, UNC13, Unc13h2	unc-13 homolog B (C. elegans)	1	
SEMA4D	C9orf164, CD100, M-sema-G, SEMAJ, coll-4	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	2	
SEMA3C	SEMAE, SemE	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	1	
ATG7	APG7-LIKE, APG7L, GSA7	autophagy related 7	2	
SSSCA1	p27	Sjogren syndrome/scleroderma autoantigen 1	2	
UBD	FAT10, GABBR1, UBD-3	ubiquitin D	3	
BATF	B-ATF, BATF1, SFA-2, SFA2	basic leucine zipper transcription factor, ATF-like	2	
PROCR	CCCA, CCD41, EPCR	protein C receptor, endothelial	5	
PSORS4		psoriasis susceptibility 4	1	
AGR2	AG2, GOB-4, HAG-2, HEL-S-116, PDIA17, XAG-2	anterior gradient 2, protein disulphide isomerase family member	1	
IFI44	MTAP44, TLDC5, p44	interferon-induced protein 44	1	
CXCL13	ANGIE, ANGIE2, BCA-1, BCA1, BLC, BLR1L, SCYB13	chemokine (C-X-C motif) ligand 13	7	
GNLY	519, D2S69E, LAG-2, LAG2, NKG5, TLA519	granulysin	4	
COLEC10	CLL1	collectin sub-family member 10 (C-type lectin)	2	
MTHFS	HsT19268	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)	1	
SLCO1B1	HBLRR, LST-1, LST1, OATP-C, OATP1B1, OATP2, OATPC, SLC21A6	solute carrier organic anion transporter family, member 1B1	1	
SH2B2	APS	SH2B adaptor protein 2	1	
TXNIP	EST01027, HHCPA78, THIF, VDUP1	thioredoxin interacting protein	1	
PDPN	AGGRUS, GP36, GP40, Gp38, HT1A-1, OTS8, PA2.26, T1A, T1A-2, T1A2, TI1A	podoplanin	1	
POSTN	OSF-2, OSF2, PDLPOSTN, PN, periostin	periostin, osteoblast specific factor	3	
RGS14		regulator of G-protein signaling 14	2	
CELF1	BRUNOL2, CUG-BP, CUGBP, CUGBP1, EDEN-BP, NAB50, NAPOR, hNab50	CUGBP, Elav-like family member 1	1	
CXCR6	BONZO, CD186, STRL33, TYMSTR	chemokine (C-X-C motif) receptor 6	3	
CTCF	MRD21	CCCTC-binding factor (zinc finger protein)	1	
C6orf10	TSBP	chromosome 6 open reading frame 10	10	
CD226	DNAM-1, DNAM1, PTA1, TLiSA1	CD226 molecule	8	
DCTN6	WS-3, WS3, p27	dynactin 6	1	
TNFSF13B	BAFF, BLYS, CD257, DTL, TALL-1, TALL1, THANK, TNFSF20, ZTNF4	tumor necrosis factor (ligand) superfamily, member 13b	17	
B3GNT2	B3GN-T2, B3GNT, B3GNT-2, B3GNT1, BETA3GNT, BGNT2, BGnT-2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	2	
NFAT5	NF-AT5, NFATL1, NFATZ, OREBP, TONEBP	nuclear factor of activated T-cells 5, tonicity-responsive	3	
RAI1	SMCR, SMS	retinoic acid induced 1	1	
PTTG2		pituitary tumor-transforming 2	1	
PHTF1	PHTF	putative homeodomain transcription factor 1	3	
MASP2	MAP19, MASP-2, MASP1P1, sMAP	mannan-binding lectin serine peptidase 2	4	
TRAF3IP2	ACT1, C6orf2, C6orf4, C6orf5, C6orf6, CANDF8, CIKS, PSORS13	TRAF3 interacting protein 2	4	
NES	Nbla00170	nestin	3	
TOB2	TOB4, TOBL, TROB2	transducer of ERBB2, 2	1	
NEK6	SID6-1512	NIMA-related kinase 6	1	
IQGAP2		IQ motif containing GTPase activating protein 2	1	
CCR9	CC-CKR-9, CDw199, GPR-9-6, GPR28	chemokine (C-C motif) receptor 9	5	
SDCCAG3	NY-CO-3	serologically defined colon cancer antigen 3	2	
STARD10	CGI-52, NY-CO-28, PCTP2, SDCCAG28	StAR-related lipid transfer (START) domain containing 10	1	
NEU3	SIAL3	sialidase 3 (membrane sialidase)	1	
PPP1R17	C7orf16, GSBS	protein phosphatase 1, regulatory subunit 17	1	
PDE10A	HSPDE10A	phosphodiesterase 10A	1	
CCL27	ALP, CTACK, CTAK, ESKINE, ILC, PESKY, SCYA27	chemokine (C-C motif) ligand 27	6	
HPSE	HPA, HPA1, HPR1, HPSE1, HSE1	heparanase	4	
RUVBL2	CGI-46, ECP51, INO80J, REPTIN, RVB2, TIH2, TIP48, TIP49B	RuvB-like AAA ATPase 2	1	
LILRB1	CD85J, ILT-2, ILT2, LIR-1, LIR1, MIR-7, MIR7	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	2	
ARID5A	MRF-1, MRF1, RP11-363D14	AT rich interactive domain 5A (MRF1-like)	1	
HCP5	6S2650E, D6S2650E, P5-1	HLA complex P5 (non-protein coding)	3	
FGL2	T49, pT49	fibrinogen-like 2	5	
CFHR4	CFHL4, FHR-4, FHR4	complement factor H-related 4	1	
CFHR3	CFHL3, DOWN16, FHR-3, FHR3, HLF4	complement factor H-related 3	2	
PPARGC1A	LEM6, PGC-1(alpha), PGC-1v, PGC1, PGC1A, PPARGC1	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	4	
MALT1	IMD12, MLT, MLT1	MALT1 paracaspase	2	
DHRS4	CR, NRDR, PHCR, PSCD, SCAD-SRL, SDR-SRL, SDR25C1, SDR25C2	dehydrogenase/reductase (SDR family) member 4	1	
UTS2	PRO1068, U-II, UCN2, UII	urotensin 2	2	
GADD45G	CR6, DDIT2, GADD45gamma, GRP17	growth arrest and DNA-damage-inducible, gamma	2	
PRDX3	AOP-1, AOP1, HBC189, MER5, PRO1748, SP-22, prx-III	peroxiredoxin 3	1	
SERINC3	AIGP1, DIFF33, SBBI99, TDE, TDE1, TMS-1	serine incorporator 3	1	
OS9	ERLEC2, OS-9	osteosarcoma amplified 9, endoplasmic reticulum lectin	1	
STIP1	HEL-S-94n, HOP, IEF-SSP-3521, P60, STI1, STI1L	stress-induced phosphoprotein 1	1	
CKAP4	CLIMP-63, ERGIC-63, p63	cytoskeleton-associated protein 4	1	
YWHAQ	14-3-3, 1C5, HS1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta	2	
RAB32		RAB32, member RAS oncogene family	1	
SPINK5	LEKTI, LETKI, NETS, NS, VAKTI	serine peptidase inhibitor, Kazal type 5	3	
LILRB4	CD85K, ILT-3, ILT3, LIR-5, LIR5	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4	3	
CCDC85B	DIPA	coiled-coil domain containing 85B	1	
IL24	C49A, FISP, IL10B, MDA7, MOB5, ST16	interleukin 24	6	
LIAS	HUSSY-01, LAS, LIP1, LS, PDHLD	lipoic acid synthetase	1	
LILRA3	CD85E, HM31, HM43, ILT-6, ILT6, LIR-4, LIR4	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	4	
RIPK3	RIP3	receptor-interacting serine-threonine kinase 3	2	
PIM2		Pim-2 proto-oncogene, serine/threonine kinase	1	
ZPBP	ZPBP1	zona pellucida binding protein	2	
TPPP	TPPP/p25, TPPP1, p24, p25, p25alpha	tubulin polymerization promoting protein	1	
HSF2BP		heat shock transcription factor 2 binding protein	1	
ESM1	endocan	endothelial cell-specific molecule 1	4	
ADAM30	svph4	ADAM metallopeptidase domain 30	1	
ADAMTS13	ADAM-TS13, ADAMTS-13, C9orf8, VWFCP, vWF-CP	ADAM metallopeptidase with thrombospondin type 1 motif, 13	7	
ADAMTS5	ADAM-TS 11, ADAM-TS 5, ADAM-TS5, ADAMTS-11, ADAMTS-5, ADAMTS11, ADMP-2	ADAM metallopeptidase with thrombospondin type 1 motif, 5	1	
RPP14	P14	ribonuclease P/MRP 14kDa subunit	2	
KRR1	HRB2, RIP-1	KRR1, small subunit (SSU) processome component, homolog (yeast)	1	
FGFR1OP	FOP	FGFR1 oncogene partner	3	
PTPRT	RPTPrho	protein tyrosine phosphatase, receptor type, T	1	
FAF1	CGI-03, HFAF1s, UBXD12, UBXN3A, hFAF1	Fas (TNFRSF6) associated factor 1	1	
KIF3A	FLA10, KLP-20	kinesin family member 3A	1	
SLC7A9	BAT1, CSNU3	solute carrier family 7 (amino acid transporter light chain, bo,+ system), member 9	1	
CDC37	P50CDC37	cell division cycle 37	2	
CORO1A	CLABP, CLIPINA, HCORO1, IMD8, TACO, p57	coronin, actin binding protein, 1A	1	
FSTL1	FRP, FSL1, MIR198	follistatin-like 1	2	
FAM107A	DRR1, TU3A	family with sequence similarity 107, member A	1	
STRAP	MAWD, PT-WD, UNRIP	serine/threonine kinase receptor associated protein	1	
INSL6	RIF1	insulin-like 6	1	
BAZ1A	ACF1, WALp1, WCRF180, hACF1	bromodomain adjacent to zinc finger domain, 1A	1	
TREH	TRE, TREA	trehalase (brush-border membrane glycoprotein)	2	
MAP4K5	GCKR, KHS, KHS1, MAPKKKK5	mitogen-activated protein kinase kinase kinase kinase 5	1	
CEP250	C-NAP1, CEP2, CNAP1	centrosomal protein 250kDa	1	
WBP4	FBP21	WW domain binding protein 4	1	
WIF1	WIF-1	WNT inhibitory factor 1	2	
CHEK2	CDS1, CHK2, HuCds1, LFS2, PP1425, RAD53, hCds1	checkpoint kinase 2	1	
